class,precision,recall,f1
Tomato_Bacterial_spot,0.9790356394129979,0.9810924369747899,0.9800629590766002
Tomato_Early_blight,0.9614512471655329,0.952808988764045,0.9571106094808126
Tomato_Late_blight,0.9632829373650108,0.9550321199143469,0.9591397849462365
Tomato_Leaf_Mold,0.9888143176733781,0.9888143176733781,0.9888143176733781
Tomato_Septoria_leaf_spot,0.9891067538126361,0.9700854700854701,0.9795037756202805
Tomato_Spider_mites_Two_spotted_spider_mite,0.9699570815450643,0.9678800856531049,0.9689174705251876
Tomato__Target_Spot,0.9639065817409767,0.9848156182212582,0.9742489270386266
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9854469854469855,0.983402489626556,0.9844236760124611
Tomato__Tomato_mosaic_virus,0.9838709677419355,1.0,0.991869918699187
Tomato_healthy,0.9978401727861771,1.0,0.9989189189189189
