class,precision,recall,f1
Tomato_Bacterial_spot,0.9731404958677686,0.9894957983193278,0.98125
Tomato_Early_blight,0.9443207126948775,0.952808988764045,0.9485458612975392
Tomato_Late_blight,0.9691629955947136,0.9421841541755889,0.9554831704668838
Tomato_Leaf_Mold,0.9844789356984479,0.9932885906040269,0.9888641425389755
Tomato_Septoria_leaf_spot,0.9761904761904762,0.9636752136752137,0.9698924731182795
Tomato_Spider_mites_Two_spotted_spider_mite,0.9578947368421052,0.974304068522484,0.9660297239915074
Tomato__Target_Spot,0.973568281938326,0.9587852494577006,0.966120218579235
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9916317991631799,0.983402489626556,0.9875
Tomato__Tomato_mosaic_virus,0.9861431870669746,1.0,0.9930232558139535
Tomato_healthy,0.9956709956709957,0.9956709956709957,0.9956709956709957
